PERMNO,date,TICKER,COMNAM,PERMCO,PRC,RET,CFACPR,RETX,sprtrn
12490,19990806,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,123.50000,0.003511,1,0.002537,-0.010215
12490,19990809,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,122.18750,-0.010628,1,-0.010628,-0.001915
12490,19990810,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,119.31250,-0.023529,1,-0.023529,-0.012614
12490,19990811,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,123.31250,0.033525,1,0.033525,0.015998
12490,19990812,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,121.12500,-0.017739,1,-0.017739,-0.002896
12490,19990813,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,123.37500,0.018576,1,0.018576,0.022740
12490,19990816,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,127.37500,0.032421,1,0.032421,0.002327
12490,19990817,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,128.50000,0.008832,1,0.008832,0.010062
12490,19990818,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,123.87500,-0.035992,1,-0.035992,-0.008422
12490,19990819,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,122.93750,-0.007568,1,-0.007568,-0.006940
12490,19990820,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,121.75000,-0.009659,1,-0.009659,0.009837
12490,19990823,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,124.43750,0.022074,1,0.022074,0.017664
12490,19990824,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,122.00000,-0.019588,1,-0.019588,0.002411
12490,19990825,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,122.37500,0.003074,1,0.003074,0.013414
12490,19990826,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,122.93750,0.004597,1,0.004597,-0.014315
12490,19990827,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,124.00000,0.008643,1,0.008643,-0.010088
12490,19990830,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,123.18750,-0.006552,1,-0.006552,-0.017986
12490,19990831,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,124.56250,0.011162,1,0.011162,-0.002727
12490,19990901,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,127.25000,0.021576,1,0.021576,0.008073
12490,19990902,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,125.87500,-0.010806,1,-0.010806,-0.008985
12490,19990903,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,128.85938,0.023709,1,0.023709,0.028906
12490,19990907,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,132.00000,0.024372,1,0.024372,-0.005003
12490,19990908,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,130.75000,-0.009470,1,-0.009470,-0.004665
12490,19990909,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,134.75000,0.030593,1,0.030593,0.002611
12490,19990910,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,135.00000,0.001855,1,0.001855,0.002968
12490,19990913,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,132.37500,-0.019444,1,-0.019444,-0.005571
12490,19990914,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,133.31250,0.007082,1,0.007082,-0.005833
12490,19990915,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,131.93750,-0.010314,1,-0.010314,-0.013710
12490,19990916,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,130.00000,-0.014685,1,-0.014685,0.000387
12490,19990917,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,125.37500,-0.035577,1,-0.035577,0.012848
12490,19990920,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,130.12500,0.037886,1,0.037886,0.000082
12490,19990921,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,127.12500,-0.023055,1,-0.023055,-0.020928
12490,19990922,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,125.18750,-0.015241,1,-0.015241,0.002241
12490,19990923,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,122.00000,-0.025462,1,-0.025462,-0.022968
12490,19990924,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,125.00000,0.024590,1,0.024590,-0.002382
12490,19990927,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,123.00000,-0.016000,1,-0.016000,0.004658
12490,19990928,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,123.50000,0.004065,1,0.004065,-0.000865
12490,19990929,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,120.06250,-0.027834,1,-0.027834,-0.010786
12490,19990930,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,121.00000,0.007808,1,0.007808,0.011306
12490,19991001,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,117.75000,-0.026860,1,-0.026860,0.000078
12490,19991004,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,119.87500,0.018047,1,0.018047,0.016986
12490,19991005,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,122.00000,0.017727,1,0.017727,-0.002491
12490,19991006,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,119.18750,-0.023053,1,-0.023053,0.018481
12490,19991007,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,116.37500,-0.023597,1,-0.023597,-0.005855
12490,19991008,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,113.50000,-0.024705,1,-0.024705,0.013949
12490,19991011,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,114.25000,0.006608,1,0.006608,-0.000606
12490,19991012,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,110.00000,-0.037199,1,-0.037199,-0.016604
12490,19991013,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,105.06250,-0.044886,1,-0.044886,-0.020936
12490,19991014,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,107.00000,0.018441,1,0.018441,-0.001657
12490,19991015,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,107.87500,0.008178,1,0.008178,-0.028058
12490,19991018,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,107.00000,-0.008111,1,-0.008111,0.005387
12490,19991019,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,107.12500,0.001168,1,0.001168,0.005733
12490,19991020,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,107.00000,-0.001167,1,-0.001167,0.022286
12490,19991021,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,91.00000,-0.149533,1,-0.149533,-0.004514
12490,19991022,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,93.93750,0.032280,1,0.032280,0.014054
12490,19991025,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,93.87500,-0.000665,1,-0.000665,-0.006161
12490,19991026,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,95.50000,0.017310,1,0.017310,-0.009060
12490,19991027,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,93.00000,-0.026178,1,-0.026178,0.011545
12490,19991028,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,94.93750,0.020833,1,0.020833,0.035266
12490,19991029,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,98.25000,0.034891,1,0.034891,0.015263
12490,19991101,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,96.75000,-0.015267,1,-0.015267,-0.006464
12490,19991102,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,94.81250,-0.020026,1,-0.020026,-0.004712
12490,19991103,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,94.43750,-0.003955,1,-0.003955,0.005335
12490,19991104,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,91.56250,-0.030443,1,-0.030443,0.005690
12490,19991105,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,90.25000,-0.014334,1,-0.014334,0.005570
12490,19991108,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,93.93750,0.042188,1,0.040859,0.004948
12490,19991109,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,93.62500,-0.003327,1,-0.003327,-0.008518
12490,19991110,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,97.00000,0.036048,1,0.036048,0.005991
12490,19991111,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,95.00000,-0.020619,1,-0.020619,0.005825
12490,19991112,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,95.75000,0.007895,1,0.007895,0.010569
12490,19991115,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,94.06250,-0.017624,1,-0.017624,-0.001196
12490,19991116,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,94.50000,0.004651,1,0.004651,0.018417
12490,19991117,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,93.25000,-0.013228,1,-0.013228,-0.006591
12490,19991118,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,98.00000,0.050938,1,0.050938,0.010087
12490,19991119,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,104.75000,0.068878,1,0.068878,-0.002063
12490,19991122,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,107.87500,0.029833,1,0.029833,-0.000745
12490,19991123,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,106.12500,-0.016222,1,-0.016222,-0.011471
12490,19991124,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,104.06250,-0.019435,1,-0.019435,0.008856
12490,19991126,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,105.00000,0.009009,1,0.009009,-0.000325
12490,19991129,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,104.18750,-0.007738,1,-0.007738,-0.006205
12490,19991130,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,103.06250,-0.010798,1,-0.010798,-0.013439
12490,19991201,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,103.75000,0.006671,1,0.006671,0.006343
