PERMNO,date,TICKER,PRC
13856,19930617,PEP,36.87500
13856,19930618,PEP,36.37500
13856,19930621,PEP,36.37500
13856,19930622,PEP,36.50000
13856,19930623,PEP,36.12500
13856,19930624,PEP,36.50000
13856,19930625,PEP,36.25000
13856,19930628,PEP,36.75000
13856,19930629,PEP,37.00000
13856,19930630,PEP,37.00000
13856,19930701,PEP,36.62500
13856,19930702,PEP,36.25000
13856,19930706,PEP,35.87500
13856,19930707,PEP,36.12500
13856,19930708,PEP,35.75000
13856,19930709,PEP,35.50000
13856,19930712,PEP,35.50000
13856,19930713,PEP,34.87500
13856,19930714,PEP,35.12500
13856,19930715,PEP,35.87500
13856,19930716,PEP,35.62500
13856,19930719,PEP,35.50000
13856,19930720,PEP,36.37500
13856,19930721,PEP,37.25000
13856,19930722,PEP,37.87500
13856,19930723,PEP,37.75000
13856,19930726,PEP,37.50000
13856,19930727,PEP,37.00000
13856,19930728,PEP,37.12500
13856,19930729,PEP,37.37500
13856,19930730,PEP,37.37500
13856,19930802,PEP,37.50000
13856,19930803,PEP,37.25000
13856,19930804,PEP,36.75000
13856,19930805,PEP,37.37500
13856,19930806,PEP,36.75000
13856,19930809,PEP,37.12500
13856,19930810,PEP,37.12500
13856,19930811,PEP,38.00000
13856,19930812,PEP,37.12500
13856,19930813,PEP,37.37500
13856,19930816,PEP,37.37500
13856,19930817,PEP,37.62500
13856,19930818,PEP,38.87500
13856,19930819,PEP,40.12500
13856,19930820,PEP,39.12500
13856,19930823,PEP,39.25000
13856,19930824,PEP,39.37500
13856,19930825,PEP,38.75000
13856,19930826,PEP,38.50000
13856,19930827,PEP,39.25000
13856,19930830,PEP,39.00000
13856,19930831,PEP,39.37500
13856,19930901,PEP,39.50000
13856,19930902,PEP,39.00000
13856,19930903,PEP,39.00000
13856,19930907,PEP,39.37500
13856,19930908,PEP,39.75000
13856,19930909,PEP,39.87500
13856,19930910,PEP,40.25000
13856,19930913,PEP,40.75000
13856,19930914,PEP,40.87500
13856,19930915,PEP,41.62500
13856,19930916,PEP,41.50000
13856,19930917,PEP,41.12500
13856,19930920,PEP,40.00000
13856,19930921,PEP,39.75000
13856,19930922,PEP,40.75000
13856,19930923,PEP,40.75000
13856,19930924,PEP,40.37500
13856,19930927,PEP,41.00000
13856,19930928,PEP,40.50000
13856,19930929,PEP,39.75000
13856,19930930,PEP,39.25000
13856,19931001,PEP,38.75000
13856,19931004,PEP,39.50000
13856,19931005,PEP,39.50000
13856,19931006,PEP,38.87500
13856,19931007,PEP,39.00000
13856,19931008,PEP,39.00000
13856,19931011,PEP,39.62500
13856,19931012,PEP,39.75000
13856,19931013,PEP,39.50000
13856,19931014,PEP,40.50000
13856,19931015,PEP,41.25000
13856,19931018,PEP,40.75000
13856,19931019,PEP,40.12500
13856,19931020,PEP,40.12500
13856,19931021,PEP,39.50000
13856,19931022,PEP,39.62500
13856,19931025,PEP,39.12500
13856,19931026,PEP,39.62500
13856,19931027,PEP,39.25000
13856,19931028,PEP,40.50000
13856,19931029,PEP,39.50000
13856,19931101,PEP,38.87500
13856,19931102,PEP,39.12500
13856,19931103,PEP,38.25000
13856,19931104,PEP,37.87500
13856,19931105,PEP,38.00000
13856,19931108,PEP,38.12500
13856,19931109,PEP,39.00000
13856,19931110,PEP,39.62500
13856,19931111,PEP,39.50000
13856,19931112,PEP,39.00000
13856,19931115,PEP,39.87500
13856,19931116,PEP,40.00000
13856,19931117,PEP,39.75000
13856,19931118,PEP,40.37500
13856,19931119,PEP,40.12500
13856,19931122,PEP,39.62500
13856,19931123,PEP,39.37500
13856,19931124,PEP,40.00000
13856,19931126,PEP,40.25000
13856,19931129,PEP,39.87500
13856,19931130,PEP,40.25000
13856,19931201,PEP,40.00000
13856,19931202,PEP,40.00000
13856,19931203,PEP,39.87500
13856,19931206,PEP,40.25000
13856,19931207,PEP,40.62500
13856,19931208,PEP,40.62500
13856,19931209,PEP,40.50000
13856,19931210,PEP,40.75000
13856,19931213,PEP,41.12500
13856,19931214,PEP,40.62500
13856,19931215,PEP,40.75000
13856,19931216,PEP,41.00000
13856,19931217,PEP,40.87500
13856,19931220,PEP,40.87500
13856,19931221,PEP,41.00000
13856,19931222,PEP,41.25000
13856,19931223,PEP,41.87500
13856,19931227,PEP,41.75000
13856,19931228,PEP,41.37500
13856,19931229,PEP,41.37500
13856,19931230,PEP,41.25000
13856,19931231,PEP,40.87500
13856,19940103,PEP,40.62500
13856,19940104,PEP,40.12500
13856,19940105,PEP,39.75000
13856,19940106,PEP,39.25000
13856,19940107,PEP,40.12500
13856,19940110,PEP,40.87500
13856,19940111,PEP,40.62500
13856,19940112,PEP,40.25000
13856,19940113,PEP,40.00000
13856,19940114,PEP,40.00000
13856,19940117,PEP,39.62500
13856,19940118,PEP,39.62500
13856,19940119,PEP,40.37500
13856,19940120,PEP,40.00000
13856,19940121,PEP,40.00000
13856,19940124,PEP,39.37500
13856,19940125,PEP,39.25000
13856,19940126,PEP,39.12500
13856,19940127,PEP,40.25000
13856,19940128,PEP,40.12500
13856,19940131,PEP,40.37500
13856,19940201,PEP,39.62500
13856,19940202,PEP,39.62500
13856,19940203,PEP,39.25000
13856,19940204,PEP,38.25000
13856,19940207,PEP,38.50000
13856,19940208,PEP,38.50000
13856,19940209,PEP,38.37500
13856,19940210,PEP,38.37500
13856,19940211,PEP,39.00000
13856,19940214,PEP,38.62500
13856,19940215,PEP,38.75000
13856,19940216,PEP,39.25000
13856,19940217,PEP,38.50000
13856,19940218,PEP,39.00000
13856,19940222,PEP,39.62500
13856,19940223,PEP,39.62500
13856,19940224,PEP,38.87500
13856,19940225,PEP,38.75000
13856,19940228,PEP,39.12500
13856,19940301,PEP,39.12500
13856,19940302,PEP,38.87500
13856,19940303,PEP,38.12500
13856,19940304,PEP,38.00000
13856,19940307,PEP,37.50000
13856,19940308,PEP,37.12500
13856,19940309,PEP,36.75000
13856,19940310,PEP,36.50000
13856,19940311,PEP,36.12500
13856,19940314,PEP,36.00000
13856,19940315,PEP,36.87500
13856,19940316,PEP,37.25000
13856,19940317,PEP,37.87500
13856,19940318,PEP,37.62500
13856,19940321,PEP,37.25000
13856,19940322,PEP,37.25000
13856,19940323,PEP,37.00000
13856,19940324,PEP,37.50000
13856,19940325,PEP,37.25000
13856,19940328,PEP,37.25000
13856,19940329,PEP,37.00000
13856,19940330,PEP,36.50000
13856,19940331,PEP,36.62500
13856,19940404,PEP,36.25000
13856,19940405,PEP,36.62500
13856,19940406,PEP,36.62500
13856,19940407,PEP,36.62500
13856,19940408,PEP,36.62500
13856,19940411,PEP,36.50000
13856,19940412,PEP,36.75000
13856,19940413,PEP,36.87500
13856,19940414,PEP,36.87500
13856,19940415,PEP,36.75000
13856,19940418,PEP,36.62500
13856,19940419,PEP,36.75000
13856,19940420,PEP,36.00000
13856,19940421,PEP,36.25000
13856,19940422,PEP,35.62500
13856,19940425,PEP,36.75000
13856,19940426,PEP,36.62500
13856,19940428,PEP,37.00000
13856,19940429,PEP,36.50000
13856,19940502,PEP,36.75000
13856,19940503,PEP,37.00000
13856,19940504,PEP,37.00000
13856,19940505,PEP,36.00000
13856,19940506,PEP,35.87500
13856,19940509,PEP,35.75000
13856,19940510,PEP,35.87500
13856,19940511,PEP,35.37500
13856,19940512,PEP,35.75000
13856,19940513,PEP,35.50000
13856,19940516,PEP,36.00000
13856,19940517,PEP,37.00000
13856,19940518,PEP,37.12500
13856,19940519,PEP,36.75000
13856,19940520,PEP,36.62500
13856,19940523,PEP,36.12500
13856,19940524,PEP,36.37500
13856,19940525,PEP,36.37500
13856,19940526,PEP,36.62500
13856,19940527,PEP,36.50000
13856,19940531,PEP,36.00000
13856,19940601,PEP,36.25000
13856,19940602,PEP,36.75000
13856,19940603,PEP,36.00000
13856,19940606,PEP,34.62500
13856,19940607,PEP,34.87500
13856,19940608,PEP,34.50000
13856,19940609,PEP,31.50000
13856,19940610,PEP,31.12500
13856,19940613,PEP,31.37500
13856,19940614,PEP,31.87500
13856,19940615,PEP,32.12500
13856,19940616,PEP,31.75000
13856,19940617,PEP,31.25000
13856,19940620,PEP,31.00000
13856,19940621,PEP,31.50000
13856,19940622,PEP,31.75000
13856,19940623,PEP,31.12500
13856,19940624,PEP,30.75000
13856,19940627,PEP,31.00000
13856,19940628,PEP,30.87500
13856,19940629,PEP,31.25000
13856,19940630,PEP,30.62500
13856,19940701,PEP,30.50000
13856,19940705,PEP,30.62500
13856,19940706,PEP,30.12500
13856,19940707,PEP,30.62500
13856,19940708,PEP,30.75000
13856,19940711,PEP,30.87500
13856,19940712,PEP,30.62500
13856,19940713,PEP,30.50000
13856,19940714,PEP,30.75000
13856,19940715,PEP,31.25000
13856,19940718,PEP,30.50000
13856,19940719,PEP,30.50000
13856,19940720,PEP,30.37500
13856,19940721,PEP,30.12500
13856,19940722,PEP,30.12500
13856,19940725,PEP,30.00000
13856,19940726,PEP,30.12500
13856,19940727,PEP,29.87500
13856,19940728,PEP,29.75000
13856,19940729,PEP,30.50000
13856,19940801,PEP,30.87500
13856,19940802,PEP,30.87500
13856,19940803,PEP,30.87500
13856,19940804,PEP,31.00000
13856,19940805,PEP,31.00000
13856,19940808,PEP,31.50000
13856,19940809,PEP,31.12500
13856,19940810,PEP,31.12500
13856,19940811,PEP,31.12500
13856,19940812,PEP,31.75000
13856,19940815,PEP,31.12500
13856,19940816,PEP,32.37500
13856,19940817,PEP,33.25000
13856,19940818,PEP,32.75000
13856,19940819,PEP,33.50000
13856,19940822,PEP,33.50000
13856,19940823,PEP,34.00000
13856,19940824,PEP,34.50000
13856,19940825,PEP,33.87500
13856,19940826,PEP,34.25000
13856,19940829,PEP,33.75000
13856,19940830,PEP,33.50000
13856,19940831,PEP,33.12500
13856,19940901,PEP,33.62500
13856,19940902,PEP,33.75000
13856,19940906,PEP,33.50000
13856,19940907,PEP,33.25000
13856,19940908,PEP,33.50000
13856,19940909,PEP,33.12500
13856,19940912,PEP,33.00000
13856,19940913,PEP,33.00000
13856,19940914,PEP,33.25000
13856,19940915,PEP,34.00000
13856,19940916,PEP,33.25000
13856,19940919,PEP,33.37500
13856,19940920,PEP,32.50000
13856,19940921,PEP,32.50000
13856,19940922,PEP,32.62500
13856,19940923,PEP,32.50000
13856,19940926,PEP,33.00000
13856,19940927,PEP,32.75000
13856,19940928,PEP,33.37500
13856,19940929,PEP,33.12500
13856,19940930,PEP,33.12500
13856,19941003,PEP,33.62500
13856,19941004,PEP,32.62500
13856,19941005,PEP,33.37500
13856,19941006,PEP,33.00000
13856,19941007,PEP,32.25000
13856,19941010,PEP,32.50000
13856,19941011,PEP,34.75000
13856,19941012,PEP,34.50000
13856,19941013,PEP,34.50000
13856,19941014,PEP,34.12500
13856,19941017,PEP,34.12500
13856,19941018,PEP,34.00000
13856,19941019,PEP,34.75000
13856,19941020,PEP,34.25000
13856,19941021,PEP,34.37500
13856,19941024,PEP,34.00000
13856,19941025,PEP,34.25000
13856,19941026,PEP,34.75000
13856,19941027,PEP,34.87500
13856,19941028,PEP,35.12500
13856,19941031,PEP,35.00000
13856,19941101,PEP,35.50000
13856,19941102,PEP,35.25000
13856,19941103,PEP,35.62500
13856,19941104,PEP,35.37500
13856,19941107,PEP,35.62500
13856,19941108,PEP,35.87500
13856,19941109,PEP,35.62500
13856,19941110,PEP,35.25000
13856,19941111,PEP,36.87500
13856,19941114,PEP,37.12500
13856,19941115,PEP,36.75000
13856,19941116,PEP,36.75000
13856,19941117,PEP,37.00000
13856,19941118,PEP,36.62500
13856,19941121,PEP,36.87500
13856,19941122,PEP,36.00000
13856,19941123,PEP,35.50000
13856,19941125,PEP,35.87500
13856,19941128,PEP,36.00000
13856,19941129,PEP,35.87500
13856,19941130,PEP,35.25000
13856,19941201,PEP,35.12500
13856,19941202,PEP,35.87500
13856,19941205,PEP,36.12500
13856,19941206,PEP,35.87500
13856,19941207,PEP,35.87500
13856,19941208,PEP,35.12500
13856,19941209,PEP,35.25000
13856,19941212,PEP,35.75000
13856,19941213,PEP,35.75000
13856,19941214,PEP,35.62500
13856,19941215,PEP,35.87500
13856,19941216,PEP,36.75000
13856,19941219,PEP,36.62500
13856,19941220,PEP,36.25000
13856,19941221,PEP,36.37500
13856,19941222,PEP,36.25000
13856,19941223,PEP,36.25000
13856,19941227,PEP,36.75000
13856,19941228,PEP,36.62500
13856,19941229,PEP,36.62500
13856,19941230,PEP,36.25000
13856,19950103,PEP,36.00000
13856,19950104,PEP,35.50000
13856,19950105,PEP,34.75000
13856,19950106,PEP,34.75000
13856,19950109,PEP,34.87500
13856,19950110,PEP,34.50000
13856,19950111,PEP,34.00000
13856,19950112,PEP,33.87500
13856,19950113,PEP,34.25000
13856,19950116,PEP,34.62500
13856,19950117,PEP,35.12500
13856,19950118,PEP,34.62500
13856,19950119,PEP,34.50000
13856,19950120,PEP,34.37500
13856,19950123,PEP,34.75000
13856,19950124,PEP,35.00000
13856,19950125,PEP,35.50000
13856,19950126,PEP,35.62500
13856,19950127,PEP,36.37500
13856,19950130,PEP,36.37500
13856,19950131,PEP,36.87500
13856,19950201,PEP,37.12500
13856,19950202,PEP,38.00000
13856,19950203,PEP,38.87500
13856,19950206,PEP,38.62500
13856,19950207,PEP,37.87500
13856,19950208,PEP,36.87500
13856,19950209,PEP,36.87500
13856,19950210,PEP,37.50000
13856,19950213,PEP,37.00000
13856,19950214,PEP,38.62500
13856,19950215,PEP,38.37500
13856,19950216,PEP,38.62500
13856,19950217,PEP,38.62500
13856,19950221,PEP,39.00000
13856,19950222,PEP,39.00000
13856,19950223,PEP,39.25000
13856,19950224,PEP,39.62500
13856,19950227,PEP,38.75000
13856,19950228,PEP,39.12500
13856,19950301,PEP,38.75000
13856,19950302,PEP,38.75000
13856,19950303,PEP,38.87500
13856,19950306,PEP,39.25000
13856,19950307,PEP,38.37500
13856,19950308,PEP,38.12500
13856,19950309,PEP,38.50000
13856,19950310,PEP,39.75000
13856,19950313,PEP,39.50000
13856,19950314,PEP,39.75000
13856,19950315,PEP,39.87500
13856,19950316,PEP,40.00000
13856,19950317,PEP,40.12500
13856,19950320,PEP,40.25000
13856,19950321,PEP,40.75000
13856,19950322,PEP,40.87500
13856,19950323,PEP,40.62500
13856,19950324,PEP,40.25000
13856,19950327,PEP,40.37500
13856,19950328,PEP,40.25000
13856,19950329,PEP,40.12500
13856,19950330,PEP,39.00000
13856,19950331,PEP,39.12500
13856,19950403,PEP,39.62500
13856,19950404,PEP,39.87500
13856,19950405,PEP,40.00000
13856,19950406,PEP,39.87500
13856,19950407,PEP,39.87500
13856,19950410,PEP,40.37500
13856,19950411,PEP,40.37500
13856,19950412,PEP,40.87500
13856,19950413,PEP,41.00000
13856,19950417,PEP,40.50000
13856,19950418,PEP,41.00000
13856,19950419,PEP,40.50000
13856,19950420,PEP,40.37500
13856,19950421,PEP,41.25000
13856,19950424,PEP,41.37500
13856,19950425,PEP,41.25000
13856,19950426,PEP,41.62500
13856,19950427,PEP,41.12500
13856,19950428,PEP,41.62500
13856,19950501,PEP,42.00000
13856,19950502,PEP,43.00000
13856,19950503,PEP,44.75000
13856,19950504,PEP,44.87500
13856,19950505,PEP,44.37500
13856,19950508,PEP,45.12500
13856,19950509,PEP,44.62500
13856,19950510,PEP,45.62500
13856,19950511,PEP,45.62500
13856,19950512,PEP,44.37500
13856,19950515,PEP,45.75000
13856,19950516,PEP,45.37500
13856,19950517,PEP,45.37500
13856,19950518,PEP,44.12500
13856,19950519,PEP,44.87500
13856,19950522,PEP,44.75000
13856,19950523,PEP,45.50000
13856,19950524,PEP,47.00000
13856,19950525,PEP,46.50000
13856,19950526,PEP,46.50000
13856,19950530,PEP,47.37500
13856,19950531,PEP,49.00000
13856,19950601,PEP,48.12500
13856,19950602,PEP,47.25000
13856,19950605,PEP,46.50000
13856,19950606,PEP,46.12500
13856,19950607,PEP,46.12500
13856,19950608,PEP,46.87500
13856,19950609,PEP,46.87500
13856,19950612,PEP,46.87500
